Symbol,"DFT
LDA
Etot","DFT
LDA
Ekin","DFT
LDA
Ecoul","DFT
LDA
Eenuc","DFT
LDA
Exc","DFT
LSD
Etot","DFT
LSD
Ekin","DFT
LSD
Ecoul","DFT
LSD
Eenuc","DFT
LSD
Exc","DFT
RLDA
Etot","DFT
RLDA
Ekin","DFT
RLDA
Ecoul","DFT
RLDA
Eenuc","DFT
RLDA
Exc","DFT
ScRLDA
Etot","DFT
ScRLDA
Ekin","DFT
ScRLDA
Ecoul","DFT
ScRLDA
Eenuc","DFT
ScRLDA
Exc"
Lu,-13848.23038,13842.90353,5575.225315,-32987.4068,-278.952417,-13848.23477,13842.9089,5575.325406,-32987.51031,-278.95876,-14545.31929,16158.23584,5721.33747,-36159.02584,-265.866754,-14527.90572,15821.44616,5704.90613,-35789.28548,-264.972535
Hf,-14317.49372,14312.0769,5760.587419,-34104.62931,-285.528734,-14317.51221,14312.09921,5760.8635,-34104.92172,-285.553202,-15060.40463,16787.9074,5916.472097,-37492.88461,-271.899517,-15041.30271,16424.87759,5898.918562,-37094.12803,-270.970833
Ta,-14795.8842,14790.37645,5949.357668,-35243.46006,-292.15826,-14795.92713,14790.42763,5949.841463,-35243.98378,-292.212445,-15587.05079,17436.13222,6115.300224,-38860.52007,-277.963169,-15566.1191,17045.05023,6096.568291,-38430.73758,-277.000037
W,-15283.44882,15277.84931,6141.634533,-36404.0875,-298.84516,-15283.52687,15277.94142,6142.349943,-36404.87749,-298.940751,-16125.40843,18103.44755,6317.991142,-40262.78378,-284.063342,-16102.49541,17682.38777,6298.01638,-39799.8338,-283.065753
Re,-15780.23602,15774.54396,6337.535878,-37586.72292,-305.592936,-15780.36014,15774.68919,6338.503935,-37587.8115,-305.741761,-16675.63441,18790.42164,6524.706419,-41700.55849,-290.203987,-16650.57761,18337.33642,6503.419447,-41202.16148,-289.17199
Os,-16286.29541,16280.51003,6537.173416,-38791.57439,-312.404466,-16286.37549,16280.60289,6537.708331,-38792.18771,-312.498998,-17237.89143,19497.65452,6735.59087,-43174.7488,-296.388014,-17210.51681,19010.36544,6712.918147,-42638.47865,-295.321749
Ir,-16801.67747,16795.79805,6740.648988,-40018.84238,-319.282128,-16801.72286,16795.85029,6740.917855,-40019.15593,-319.335079,-17812.34794,20225.77939,6950.774432,-44686.28414,-302.617619,-17782.46908,19701.96819,6926.638444,-44109.55837,-301.51734
Pt,-17326.57638,17320.59285,6958.348706,-41279.08998,-326.42795,-17326.59011,17320.60971,6958.546347,-41279.30103,-326.445135,-18399.2158,20975.23953,7178.033836,-46243.44406,-309.045109,-18366.6324,20412.55915,7152.388812,-45623.66805,-307.912303
Au,-17860.79094,17854.71137,7170.546095,-42552.58722,-333.461185,-17860.79657,17854.71879,7170.660357,-42552.70663,-333.469086,-18998.62471,21747.19306,7402.763425,-47833.19664,-315.384552,-18963.12361,21142.90506,7375.492666,-47167.30258,-314.218763
Hg,-18404.27422,18398.10839,7374.994996,-43837.04718,-340.330424,-18404.27422,18398.10839,7374.994996,-43837.04718,-340.330424,-19610.68576,22542.37946,7623.259953,-49454.7304,-321.594778,-19572.03928,21893.54302,7594.228549,-48739.41551,-320.39534
Tl,-18956.95763,18950.71039,7576.942724,-45137.45422,-347.156518,-18956.9621,18950.71627,7577.062261,-45137.57778,-347.162855,-20235.32193,23360.92935,7840.22807,-51108.76714,-327.71222,-20193.2818,22664.59241,7809.187848,-50340.58461,-326.477452
Pb,-19518.99315,19512.66268,7781.994459,-46459.62774,-354.022546,-19519.01077,19512.68529,7782.343079,-46459.99313,-354.046015,-20872.8871,24203.98226,8060.985186,-52804.00462,-333.849926,-20827.18865,23456.92159,8027.843592,-51979.37309,-332.580738
Bi,-20090.41445,20083.99952,7989.999458,-47803.48411,-360.929324,-20090.45394,20084.0493,7990.617697,-47804.14116,-360.979787,-21523.5689,25072.41118,8285.370514,-54541.34384,-340.006762,-21473.92878,24271.18807,8250.008963,-53656.42179,-338.704027
Th,-24353.83223,24346.84566,9483.654939,-57774.56758,-409.765243,-24353.84736,24346.86436,9483.843618,-57774.7713,-409.784042,-26460.74264,31945.51024,9912.388894,-67935.76065,-382.881127,-26373.78595,30647.3598,9857.992062,-66497.74348,-381.394331
U,-25658.41789,25651.23118,9991.594178,-60876.21062,-425.032628,-25658.47452,25651.29511,9992.121719,-60876.79173,-425.099623,-28001.13233,34199.39228,10455.16425,-72259.68471,-396.004144,-27899.64166,32712.79465,10394.44814,-70612.38389,-394.500555
