,material_id,formula_unedited,formula,space group,target
241,80,Li3.3Ge0.3P0.7S4,Li3.3Ge0.3P0.7S4,11.0,-2.756969041951625
242,137,Li3.70Ge0.85W0.15O4,Li3.7Ge0.85W0.15O4,62.0,-4.42021640338319
243,481,Li6P(S4.6Se0.4)Br,Li6PS4.6Se0.4Br,216.0,-2.438898616350944
244,337,Li1.2Ga0.2Ti1.8(PO4)3,Li1.2Ga0.2Ti1.8P3O12,167.0,-3.790484985457369
245,1230,0.8LiTi2(PO4)3-0.2Li3PO4,Li1.4000000000000001Ti1.6P2.6000000000000005O10.400000000000002,,-3.714442690992226
246,172,Li4GeO4,Li4GeO4,63.0,-9.55284196865778
247,276,Li9Ba0.5GeP2S12,Li9Ba0.5GeP2S12,137.0,-4.000869458712629
248,9,Li0.18La0.61TiO3,Li0.18La0.61TiO3,65.0,-3.5262831390564746
249,893,0.27SiS2-0.03Al2S3-0.30Li2S-0.40LiI,Al0.06I0.4LiS0.9299999999999999Si0.27,,-2.920818753952376
250,616,Li6.55La3Zr1.55Ta0.45O12,Li6.55La3Zr1.55Ta0.45O12,230.0,-3.161150909262745
251,30,0.6Li2S-0.4P2S5,Li1.2S2.6P0.8,,-4.651385328620141
252,1040,0.95(0.75Li2S-0.25P2S5)-0.05LiBH4,Li1.475S1.962P0.5B0.05H0.2,,-3.400116927926312
253,304,Li3ErCl6,Li3ErCl6,164.0,-3.4814860601221125
254,1029,0.63Li6Si2S7-0.37Li6B4S9,Li6Si1.26S7.74B1.48,,-3.3575354797578787
255,570,Li(Li0.34Ti1.66)O4,LiLi0.34Ti1.66O4,227.0,-7.219682687859849
